Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,Season_Start_Year,Referee,Avg_H_Odds,Avg_D_Odds,Avg_A_Odds,Total_Goals,Goal_Difference,Home_Shots_Accuracy,Away_Shots_Accuracy,Avg_Over_2.5,Avg_Under_2.5
14/08/10,Aston Villa,West Ham,2,0,H,3,0,H,23,12,11,2,16,7,15,15,1,2,0,0,2010-2011,2010,M Dean,1.96,3.3,4.03,3,3,0.4782608695652174,0.16666666666666666,2.01,1.75
14/08/10,Blackburn,Everton,1,0,H,1,0,H,7,17,2,12,1,3,19,14,2,1,0,0,2010-2011,2010,P Dowd,2.92,3.25,2.44,1,1,0.2857142857142857,0.7058823529411765,2.08,1.7
14/08/10,Bolton,Fulham,0,0,D,0,0,D,13,12,9,7,4,8,12,13,1,3,0,0,2010-2011,2010,S Attwell,2.2,3.26,3.32,0,0,0.6923076923076923,0.5833333333333334,2.09,1.69
14/08/10,Chelsea,West Brom,2,0,H,6,0,H,18,10,13,4,3,1,10,10,1,0,0,0,2010-2011,2010,M Clattenburg,1.16,6.9,17.47,6,6,0.7222222222222222,0.4,1.49,2.49
14/08/10,Sunderland,Birmingham,1,0,H,2,2,D,6,13,2,7,3,6,13,10,3,3,1,0,2010-2011,2010,A Taylor,2.18,3.25,3.39,4,0,0.3333333333333333,0.5384615384615384,2.16,1.65
14/08/10,Tottenham,Man City,0,0,D,0,0,D,22,11,18,7,10,3,13,16,0,2,0,0,2010-2011,2010,A Marriner,2.39,3.28,2.95,0,0,0.8181818181818182,0.6363636363636364,1.91,1.84
14/08/10,Wigan,Blackpool,0,3,A,0,4,A,11,9,6,7,6,4,8,11,1,1,0,0,2010-2011,2010,M Halsey,1.82,3.45,4.5,4,-4,0.5454545454545454,0.7777777777777778,2.11,1.68
14/08/10,Wolves,Stoke,2,0,H,2,1,H,13,10,7,6,5,5,17,13,0,2,0,0,2010-2011,2010,L Probert,2.33,3.22,3.11,3,1,0.5384615384615384,0.6,2.25,1.6
15/08/10,Liverpool,Arsenal,0,0,D,1,1,D,7,14,4,7,9,11,13,15,1,3,1,1,2010-2011,2010,M Atkinson,2.47,3.24,2.89,2,0,0.5714285714285714,0.5,2.21,1.62
16/08/10,Man United,Newcastle,2,0,H,3,0,H,18,7,10,3,5,3,9,5,2,2,0,0,2010-2011,2010,C Foy,1.23,5.63,13.11,3,3,0.5555555555555556,0.42857142857142855,1.72,2.05
21/08/10,Arsenal,Blackpool,3,0,H,6,0,H,26,3,16,1,8,2,9,3,0,0,0,1,2010-2011,2010,M Jones,1.16,6.86,17.04,6,6,0.6153846153846154,0.3333333333333333,1.42,2.69
21/08/10,Birmingham,Blackburn,0,0,D,2,1,H,10,7,7,2,4,12,13,14,2,3,0,0,2010-2011,2010,M Oliver,2.25,3.22,3.27,3,1,0.7,0.2857142857142857,2.27,1.59
21/08/10,Everton,Wolves,1,0,H,1,1,D,14,9,6,4,3,3,18,15,1,2,0,0,2010-2011,2010,L Mason,1.48,4.0,7.3,2,0,0.42857142857142855,0.4444444444444444,1.94,1.81
21/08/10,Stoke,Tottenham,1,2,A,1,2,A,15,7,10,6,6,2,15,4,3,1,0,0,2010-2011,2010,C Foy,3.27,3.23,2.24,3,-1,0.6666666666666666,0.8571428571428571,2.18,1.64
21/08/10,West Brom,Sunderland,0,0,D,1,0,H,11,10,5,4,4,6,16,12,2,2,0,0,2010-2011,2010,K Friend,2.46,3.24,2.87,1,1,0.45454545454545453,0.4,2.11,1.69
21/08/10,West Ham,Bolton,0,0,D,1,3,A,17,12,10,8,8,5,11,18,2,4,0,0,2010-2011,2010,A Marriner,2.22,3.27,3.26,4,-2,0.5882352941176471,0.6666666666666666,1.99,1.77
21/08/10,Wigan,Chelsea,0,1,A,0,6,A,17,10,12,8,0,0,12,7,1,2,0,0,2010-2011,2010,M Dean,13.11,5.55,1.24,6,-6,0.7058823529411765,0.8,1.61,2.2
22/08/10,Fulham,Man United,0,1,A,2,2,D,16,14,8,7,5,11,7,6,2,2,0,0,2010-2011,2010,P Walton,6.1,3.81,1.57,4,0,0.5,0.5,1.94,1.82
22/08/10,Newcastle,Aston Villa,3,0,H,6,0,H,20,3,14,1,10,2,15,12,3,1,0,0,2010-2011,2010,M Atkinson,3.04,3.25,2.34,6,6,0.7,0.3333333333333333,2.11,1.69
23/08/10,Man City,Liverpool,1,0,H,3,0,H,8,13,3,7,5,4,13,12,1,1,0,0,2010-2011,2010,P Dowd,2.33,3.22,3.11,3,3,0.375,0.5384615384615384,2.2,1.62
28/08/10,Blackburn,Arsenal,1,1,D,1,2,A,15,14,7,9,4,8,9,7,1,0,0,0,2010-2011,2010,C Foy,5.66,3.76,1.61,3,-1,0.4666666666666667,0.6428571428571429,1.81,1.95
28/08/10,Blackpool,Fulham,0,1,A,2,2,D,14,12,5,7,4,5,13,16,1,0,0,0,2010-2011,2010,M Oliver,3.07,3.31,2.29,4,0,0.35714285714285715,0.5833333333333334,1.95,1.82
28/08/10,Chelsea,Stoke,1,0,H,2,0,H,15,9,6,3,6,1,5,10,0,2,0,0,2010-2011,2010,M Atkinson,1.11,8.3,23.36,2,2,0.4,0.3333333333333333,1.35,2.99
28/08/10,Man United,West Ham,1,0,H,3,0,H,18,7,11,2,9,3,6,11,1,2,0,0,2010-2011,2010,M Clattenburg,1.14,7.43,20.05,3,3,0.6111111111111112,0.2857142857142857,1.41,2.73
28/08/10,Tottenham,Wigan,0,0,D,0,1,A,12,13,7,5,16,7,10,11,3,2,0,0,2010-2011,2010,P Dowd,1.24,5.65,12.39,1,-1,0.5833333333333334,0.38461538461538464,1.5,2.48
28/08/10,Wolves,Newcastle,1,0,H,1,1,D,5,11,2,6,5,3,20,17,7,4,0,0,2010-2011,2010,S Attwell,2.4,3.24,2.97,2,0,0.4,0.5454545454545454,2.16,1.66
29/08/10,Aston Villa,Everton,1,0,H,1,0,H,12,15,6,9,4,16,19,10,4,0,0,0,2010-2011,2010,M Jones,2.52,3.22,2.8,1,1,0.5,0.6,2.07,1.71
29/08/10,Bolton,Birmingham,0,1,A,2,2,D,11,9,8,5,6,1,19,17,2,3,1,0,2010-2011,2010,K Friend,2.09,3.27,3.52,4,0,0.7272727272727273,0.5555555555555556,2.12,1.67
29/08/10,Liverpool,West Brom,0,0,D,1,0,H,11,14,7,5,7,6,9,8,0,0,0,1,2010-2011,2010,L Probert,1.22,5.79,13.58,1,1,0.6363636363636364,0.35714285714285715,1.58,2.28
29/08/10,Sunderland,Man City,0,0,D,1,0,H,12,9,4,7,3,7,5,9,0,3,0,0,2010-2011,2010,M Dean,4.31,3.47,1.84,1,1,0.3333333333333333,0.7777777777777778,1.99,1.77
11/09/10,Arsenal,Bolton,1,1,D,4,1,H,23,7,14,6,9,6,11,11,2,2,0,1,2010-2011,2010,S Attwell,1.24,5.56,12.9,5,3,0.6086956521739131,0.8571428571428571,1.49,2.51
11/09/10,Everton,Man United,1,1,D,3,3,D,23,13,14,8,7,5,11,18,1,1,0,0,2010-2011,2010,M Atkinson,4.21,3.39,1.89,6,0,0.6086956521739131,0.6153846153846154,1.99,1.78
11/09/10,Fulham,Wolves,0,1,A,2,1,H,13,4,6,2,6,6,9,17,3,6,0,1,2010-2011,2010,P Dowd,1.83,3.41,4.54,3,1,0.46153846153846156,0.5,2.07,1.72
11/09/10,Man City,Blackburn,0,1,A,1,1,D,20,4,14,2,14,2,12,10,2,1,0,0,2010-2011,2010,M Clattenburg,1.34,4.7,9.71,2,0,0.7,0.5,1.67,2.13
11/09/10,Newcastle,Blackpool,0,1,A,0,2,A,16,7,13,4,3,2,15,14,2,3,0,0,2010-2011,2010,L Mason,1.56,3.89,6.03,2,-2,0.8125,0.5714285714285714,1.69,2.11
11/09/10,West Brom,Tottenham,1,1,D,1,1,D,15,16,8,9,9,4,12,9,2,1,0,0,2010-2011,2010,H Webb,3.61,3.33,2.07,2,0,0.5333333333333333,0.5625,1.94,1.83
11/09/10,West Ham,Chelsea,0,2,A,1,3,A,13,17,7,9,1,5,13,10,2,2,0,0,2010-2011,2010,C Foy,9.84,4.92,1.32,4,-2,0.5384615384615384,0.5294117647058824,1.54,2.38
11/09/10,Wigan,Sunderland,0,0,D,1,1,D,17,4,4,2,5,1,19,11,4,2,0,1,2010-2011,2010,A Marriner,2.46,3.25,2.87,2,0,0.23529411764705882,0.5,2.1,1.69
12/09/10,Birmingham,Liverpool,0,0,D,0,0,D,15,14,3,8,4,3,8,9,1,0,0,0,2010-2011,2010,M Halsey,3.12,3.22,2.32,0,0,0.2,0.5714285714285714,2.2,1.63
13/09/10,Stoke,Aston Villa,0,1,A,2,1,H,20,10,12,6,8,7,11,14,1,2,0,0,2010-2011,2010,L Probert,2.47,3.22,2.86,3,1,0.6,0.6,2.21,1.62
18/09/10,Aston Villa,Bolton,1,1,D,1,1,D,13,13,6,7,8,4,15,8,1,2,0,0,2010-2011,2010,M Dean,1.78,3.49,4.71,2,0,0.46153846153846156,0.5384615384615384,1.89,1.86
18/09/10,Blackburn,Fulham,1,0,H,1,1,D,9,9,5,4,3,3,15,10,0,1,0,0,2010-2011,2010,A Taylor,2.02,3.28,3.82,2,0,0.5555555555555556,0.4444444444444444,2.09,1.7
18/09/10,Everton,Newcastle,0,1,A,0,1,A,6,9,3,4,3,6,15,21,2,3,0,0,2010-2011,2010,A Marriner,1.6,3.69,5.99,1,-1,0.5,0.4444444444444444,1.86,1.89
